Field,Label,Value
resource_1_dataset_id,Dataset ID,27e3d1c6-c57a-4159-85a4-adb6b7aca6b9
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,cod_population_admin0.csv
resource_1_mimetype,MIME Type,text/csv
resource_1_size,Size,786.1K
resource_2_created,Created,2024-11-07T17:07:08.154979
resource_2_description,Description,
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/27e3d1c6-c57a-4159-85a4-adb6b7aca6b9/resource/3f7e17af-4ffa-455a-874c-6bf75e031730/download/cod_population_admin1.csv
resource_2_id,Resource ID,3f7e17af-4ffa-455a-874c-6bf75e031730
resource_2_last_modified,Updated,2026-02-19T20:10:52.537764
resource_2_metadata_modified,Metadata Updated,2026-02-19T20:11:10.648972
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,27e3d1c6-c57a-4159-85a4-adb6b7aca6b9
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,cod_population_admin1.csv
resource_2_mimetype,MIME Type,text/csv
resource_2_size,Size,11.3M
resource_3_created,Created,2024-11-07T17:07:08.154982
resource_3_description,Description,
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/27e3d1c6-c57a-4159-85a4-adb6b7aca6b9/resource/87186331-46fd-4cc2-9be8-bceb715abb91/download/cod_population_admin2.csv
resource_3_id,Resource ID,87186331-46fd-4cc2-9be8-bceb715abb91
resource_3_last_modified,Updated,2026-02-19T20:10:52.538074
resource_3_metadata_modified,Metadata Updated,2026-02-19T20:11:17.052165
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,27e3d1c6-c57a-4159-85a4-adb6b7aca6b9
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,cod_population_admin2.csv
resource_3_mimetype,MIME Type,text/csv
resource_3_size,Size,135.3M
resource_4_created,Created,2024-11-07T17:07:08.154986
resource_4_description,Description,
resource_4_format,File Format,CSV
resource_4_download_url,Download URL,https://data.humdata.org/dataset/27e3d1c6-c57a-4159-85a4-adb6b7aca6b9/resource/3a58aef6-7884-40fc-8a0f-5bca8886e358/download/cod_population_admin3.csv
resource_4_id,Resource ID,3a58aef6-7884-40fc-8a0f-5bca8886e358
resource_4_last_modified,Updated,2026-02-19T20:10:52.538362
resource_4_metadata_modified,Metadata Updated,2026-02-19T20:11:12.119409
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,27e3d1c6-c57a-4159-85a4-adb6b7aca6b9
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,cod_population_admin3.csv
resource_4_mimetype,MIME Type,text/csv
resource_4_size,Size,35.4M
resource_5_created,Created,2025-02-11T10:48:09.725753
resource_5_description,Description,
resource_5_format,File Format,CSV
resource_5_download_url,Download URL,https://data.humdata.org/dataset/27e3d1c6-c57a-4159-85a4-adb6b7aca6b9/resource/11c76189-42fa-48d2-b794-b89517f0c811/download/cod_population_admin4.csv
resource_5_id,Resource ID,11c76189-42fa-48d2-b794-b89517f0c811
resource_5_last_modified,Updated,2026-02-19T20:10:52.538699
resource_5_metadata_modified,Metadata Updated,2026-02-19T20:11:09.213582
resource_5_microdata,Microdata,False
resource_5_dataset_id,Dataset ID,27e3d1c6-c57a-4159-85a4-adb6b7aca6b9
resource_5_resource_type,Resource Type,file.upload
resource_5_name,Resource Name,cod_population_admin4.csv
resource_5_mimetype,MIME Type,text/csv
resource_5_size,Size,4.6M
